length,nonPrint,specialChars,sqlKeys,jsKeys,cmdKeys,label
52,2,10,1,2,0,XSS
40,1,10,0,3,1,XSS
41,1,10,0,2,0,XSS
41,1,10,1,2,0,XSS
40,1,10,0,2,1,XSS
39,1,10,0,2,0,XSS
40,1,10,0,2,1,XSS
38,1,10,0,2,0,XSS
52,2,10,1,2,1,XSS
58,2,13,1,3,0,XSS
61,2,13,1,4,0,XSS
63,2,13,1,4,0,XSS
63,2,13,2,4,0,XSS
63,2,13,2,4,2,XSS
55,3,10,1,1,0,XSS
61,3,10,2,1,0,XSS
80,4,12,3,2,0,XSS
79,5,13,2,2,0,XSS
52,3,10,1,3,0,XSS
54,3,10,1,3,0,XSS
63,2,10,2,1,1,XSS
62,2,10,2,1,1,XSS
64,2,10,2,1,1,XSS
68,4,12,2,4,0,XSS
42,1,10,0,2,0,XSS
48,1,10,0,3,0,XSS
57,2,10,1,2,1,XSS
56,2,10,1,2,1,XSS
45,1,10,0,2,0,XSS
72,4,12,2,3,0,XSS
60,2,10,1,3,0,XSS
61,2,10,1,2,0,XSS
58,2,10,1,2,0,XSS
46,1,10,0,3,1,XSS
47,1,10,0,2,0,XSS
47,1,10,1,2,0,XSS
46,1,10,0,2,1,XSS
45,1,10,0,2,0,XSS
46,1,10,0,2,1,XSS
44,1,10,0,2,0,XSS
58,2,10,1,2,1,XSS
58,2,13,2,3,0,XSS
61,2,13,2,4,0,XSS
63,2,13,2,4,0,XSS
63,2,13,3,4,0,XSS
63,2,13,3,4,2,XSS
55,3,10,2,1,0,XSS
61,3,10,3,1,0,XSS
80,4,12,4,2,0,XSS
79,5,13,3,2,0,XSS
52,3,10,2,3,0,XSS
54,3,10,2,3,0,XSS
63,2,10,3,1,1,XSS
62,2,10,3,1,1,XSS
64,2,10,3,1,1,XSS
68,4,12,3,4,0,XSS
42,1,10,1,2,0,XSS
48,1,10,1,3,0,XSS
57,2,10,2,2,1,XSS
56,2,10,2,2,1,XSS
45,1,10,1,2,0,XSS
72,4,12,3,3,0,XSS
60,2,10,2,3,0,XSS
61,2,10,2,2,0,XSS
58,2,10,2,2,0,XSS
46,1,10,1,3,1,XSS
47,1,10,1,2,0,XSS
47,1,10,2,2,0,XSS
46,1,10,1,2,1,XSS
45,1,10,1,2,0,XSS
46,1,10,1,2,1,XSS
44,1,10,1,2,0,XSS
58,2,10,2,2,1,XSS
56,2,13,1,4,0,XSS
59,2,13,1,5,0,XSS
61,2,13,1,5,0,XSS
61,2,13,2,5,0,XSS
61,2,13,2,5,2,XSS
53,3,10,1,2,0,XSS
59,3,10,2,2,0,XSS
78,4,12,3,3,0,XSS
77,5,13,2,3,0,XSS
50,3,10,1,4,0,XSS
52,3,10,1,4,0,XSS
61,2,10,2,2,1,XSS
60,2,10,2,2,1,XSS
62,2,10,2,2,1,XSS
66,4,12,2,5,0,XSS
40,1,10,0,3,0,XSS
46,1,10,0,4,0,XSS
55,2,10,1,3,1,XSS
54,2,10,1,3,1,XSS
43,1,10,0,3,0,XSS
70,4,12,2,4,0,XSS
58,2,10,1,4,0,XSS
59,2,10,1,3,0,XSS
56,2,10,1,3,0,XSS
44,1,10,0,4,1,XSS
45,1,10,0,3,0,XSS
45,1,10,1,3,0,XSS
44,1,10,0,3,1,XSS
43,1,10,0,3,0,XSS
44,1,10,0,3,1,XSS
42,1,10,0,3,0,XSS
56,2,10,1,3,1,XSS
45,1,8,2,2,0,XSS
52,2,13,1,4,0,XSS
55,2,13,1,5,0,XSS
57,2,13,1,5,0,XSS
57,2,13,2,5,0,XSS
57,2,13,2,5,2,XSS
49,3,10,1,2,0,XSS
55,3,10,2,2,0,XSS
74,4,12,3,3,0,XSS
73,5,13,2,3,0,XSS
57,2,10,2,2,1,XSS
56,2,10,2,2,1,XSS
58,2,10,2,2,1,XSS
62,4,12,2,5,0,XSS
36,1,10,0,3,0,XSS
42,1,10,0,4,0,XSS
51,2,10,1,3,1,XSS
50,2,10,1,3,1,XSS
39,1,10,0,3,0,XSS
66,4,12,2,4,0,XSS
54,2,10,1,4,0,XSS
55,2,10,1,3,0,XSS
52,2,10,1,3,0,XSS
40,1,10,0,4,1,XSS
41,1,10,0,3,0,XSS
41,1,10,1,3,0,XSS
40,1,10,0,3,1,XSS
39,1,10,0,3,0,XSS
40,1,10,0,3,1,XSS
38,1,10,0,3,0,XSS
52,2,10,1,3,1,XSS
58,2,13,1,3,0,XSS
61,2,13,1,4,0,XSS
63,2,13,1,4,0,XSS
63,2,13,2,4,0,XSS
63,2,13,2,4,2,XSS
55,3,10,1,1,0,XSS
61,3,10,2,1,0,XSS
80,4,12,3,2,0,XSS
79,5,13,2,2,0,XSS
52,3,10,1,3,0,XSS
54,3,10,1,3,0,XSS
63,2,10,2,1,1,XSS
62,2,10,2,1,1,XSS
64,2,10,2,1,1,XSS
68,4,12,2,4,0,XSS
42,1,10,0,2,0,XSS
48,1,10,0,3,0,XSS
57,2,10,1,2,1,XSS
56,2,10,1,2,1,XSS
45,1,10,0,2,0,XSS
72,4,12,2,3,0,XSS
60,2,10,1,3,0,XSS
61,2,10,1,2,0,XSS
58,2,10,1,2,0,XSS
46,1,10,0,3,1,XSS
47,1,10,0,2,0,XSS
47,1,10,1,2,0,XSS
46,1,10,0,2,1,XSS
45,1,10,0,2,0,XSS
46,1,10,0,2,1,XSS
44,1,10,0,2,0,XSS
58,2,10,1,2,1,XSS
54,2,13,1,3,0,XSS
57,2,13,1,4,0,XSS
59,2,13,1,4,0,XSS
59,2,13,2,4,0,XSS
59,2,13,2,4,2,XSS
51,3,10,1,1,0,XSS
57,3,10,2,1,0,XSS
76,4,12,3,2,0,XSS
75,5,13,2,2,0,XSS
48,3,10,1,3,0,XSS
50,3,10,1,3,0,XSS
59,2,10,2,1,1,XSS
58,2,10,2,1,1,XSS
60,2,10,2,1,1,XSS
64,4,12,2,4,0,XSS
38,1,10,0,2,0,XSS
44,1,10,0,3,0,XSS
53,2,10,1,2,1,XSS
52,2,10,1,2,1,XSS
41,1,10,0,2,0,XSS
68,4,12,2,3,0,XSS
56,2,10,1,3,0,XSS
57,2,10,1,2,0,XSS
54,2,10,1,2,0,XSS
42,1,10,0,3,1,XSS
43,1,10,0,2,0,XSS
43,1,10,1,2,0,XSS
42,1,10,0,2,1,XSS
41,1,10,0,2,0,XSS
42,1,10,0,2,1,XSS
40,1,10,0,2,0,XSS
54,2,10,1,2,1,XSS
96,5,18,3,2,4,XSS
97,5,18,3,2,3,XSS
98,5,18,3,2,3,XSS
103,5,18,4,2,3,XSS
97,5,18,4,3,2,XSS
86,4,18,3,2,2,XSS
89,4,18,3,2,2,XSS
96,5,18,3,2,3,XSS
101,5,18,4,2,5,XSS
54,2,13,1,3,0,XSS
57,2,13,1,4,0,XSS
59,2,13,1,4,0,XSS
59,2,13,2,4,0,XSS
59,2,13,2,4,2,XSS
80,5,16,2,3,1,XSS
82,5,16,2,3,1,XSS
51,3,10,1,1,0,XSS
57,3,10,2,1,0,XSS
76,4,12,3,2,0,XSS
75,5,13,2,2,0,XSS
59,2,10,2,1,1,XSS
58,2,10,2,1,1,XSS
60,2,10,2,1,1,XSS
64,4,12,2,4,0,XSS
80,3,18,3,1,1,XSS
38,1,10,0,2,0,XSS
44,1,10,0,3,0,XSS
53,2,10,1,2,1,XSS
52,2,10,1,2,1,XSS
41,1,10,0,2,0,XSS
68,4,12,2,3,0,XSS
56,2,10,1,3,0,XSS
57,2,10,1,2,0,XSS
54,2,10,1,2,0,XSS
83,3,18,3,2,1,XSS
42,1,10,0,3,1,XSS
43,1,10,0,2,0,XSS
43,1,10,1,2,0,XSS
42,1,10,0,2,1,XSS
41,1,10,0,2,0,XSS
42,1,10,0,2,1,XSS
40,1,10,0,2,0,XSS
54,2,10,1,2,1,XSS
28,1,6,0,2,0,XSS
46,2,13,1,3,0,XSS
49,2,13,1,4,0,XSS
51,2,13,1,4,0,XSS
51,2,13,2,4,0,XSS
51,2,13,2,4,2,XSS
43,3,10,1,1,0,XSS
49,3,10,2,1,0,XSS
68,4,12,3,2,0,XSS
67,5,13,2,2,0,XSS
40,3,10,1,3,0,XSS
42,3,10,1,3,0,XSS
51,2,10,2,1,1,XSS
50,2,10,2,1,1,XSS
52,2,10,2,1,1,XSS
56,4,12,2,4,0,XSS
30,1,10,0,2,0,XSS
36,1,10,0,3,0,XSS
45,2,10,1,2,1,XSS
44,2,10,1,2,1,XSS
33,1,10,0,2,0,XSS
60,4,12,2,3,0,XSS
48,2,10,1,3,0,XSS
49,2,10,1,2,0,XSS
46,2,10,1,2,0,XSS
34,1,10,0,3,1,XSS
35,1,10,0,2,0,XSS
35,1,10,1,2,0,XSS
34,1,10,0,2,1,XSS
33,1,10,0,2,0,XSS
34,1,10,0,2,1,XSS
32,1,10,0,2,0,XSS
46,2,10,1,2,1,XSS
52,2,13,1,3,0,XSS
55,2,13,1,4,0,XSS
57,2,13,1,4,0,XSS
57,2,13,2,4,0,XSS
57,2,13,2,4,2,XSS
49,3,10,1,1,0,XSS
55,3,10,2,1,0,XSS
74,4,12,3,2,0,XSS
73,5,13,2,2,0,XSS
46,3,10,1,3,0,XSS
48,3,10,1,3,0,XSS
57,2,10,2,1,1,XSS
56,2,10,2,1,1,XSS
58,2,10,2,1,1,XSS
62,4,12,2,4,0,XSS
36,1,10,0,2,0,XSS
42,1,10,0,3,0,XSS
51,2,10,1,2,1,XSS
50,2,10,1,2,1,XSS
39,1,10,0,2,0,XSS
66,4,12,2,3,0,XSS
54,2,10,1,3,0,XSS
55,2,10,1,2,0,XSS
52,2,10,1,2,0,XSS
40,1,10,0,3,1,XSS
41,1,10,0,2,0,XSS
41,1,10,1,2,0,XSS
40,1,10,0,2,1,XSS
39,1,10,0,2,0,XSS
40,1,10,0,2,1,XSS
38,1,10,0,2,0,XSS
52,2,10,1,2,1,XSS
60,2,13,1,3,0,XSS
63,2,13,1,4,0,XSS
65,2,13,1,4,0,XSS
65,2,13,2,4,0,XSS
65,2,13,2,4,2,XSS
57,3,10,1,1,0,XSS
63,3,10,2,1,0,XSS
82,4,12,3,2,0,XSS
81,5,13,2,2,0,XSS
54,3,10,1,3,0,XSS
56,3,10,1,3,0,XSS
65,2,10,2,1,1,XSS
64,2,10,2,1,1,XSS
66,2,10,2,1,1,XSS
70,4,12,2,4,0,XSS
44,1,10,0,2,0,XSS
50,1,10,0,3,0,XSS
59,2,10,1,2,1,XSS
58,2,10,1,2,1,XSS
47,1,10,0,2,0,XSS
74,4,12,2,3,0,XSS
62,2,10,1,3,0,XSS
63,2,10,1,2,0,XSS
60,2,10,1,2,0,XSS
48,1,10,0,3,1,XSS
49,1,10,0,2,0,XSS
49,1,10,1,2,0,XSS
48,1,10,0,2,1,XSS
47,1,10,0,2,0,XSS
48,1,10,0,2,1,XSS
46,1,10,0,2,0,XSS
60,2,10,1,2,1,XSS
50,2,13,1,3,0,XSS
53,2,13,1,4,0,XSS
55,2,13,1,4,0,XSS
55,2,13,2,4,0,XSS
55,2,13,2,4,2,XSS
47,3,10,1,1,0,XSS
53,3,10,2,1,0,XSS
72,4,12,3,2,0,XSS
71,5,13,2,2,0,XSS
44,3,10,1,3,0,XSS
46,3,10,1,3,0,XSS
55,2,10,2,1,1,XSS
54,2,10,2,1,1,XSS
56,2,10,2,1,1,XSS
60,4,12,2,4,0,XSS
34,1,10,0,2,0,XSS
40,1,10,0,3,0,XSS
49,2,10,1,2,1,XSS
48,2,10,1,2,1,XSS
37,1,10,0,2,0,XSS
64,4,12,2,3,0,XSS
52,2,10,1,3,0,XSS
53,2,10,1,2,0,XSS
50,2,10,1,2,0,XSS
38,1,10,0,3,1,XSS
39,1,10,0,2,0,XSS
39,1,10,1,2,0,XSS
38,1,10,0,2,1,XSS
37,1,10,0,2,0,XSS
38,1,10,0,2,1,XSS
36,1,10,0,2,0,XSS
50,2,10,1,2,1,XSS
50,2,13,1,4,0,XSS
53,2,13,1,5,0,XSS
55,2,13,1,5,0,XSS
55,2,13,2,5,0,XSS
55,2,13,2,5,2,XSS
47,3,10,1,2,0,XSS
53,3,10,2,2,0,XSS
72,4,12,3,3,0,XSS
71,5,13,2,3,0,XSS
44,3,10,1,4,0,XSS
46,3,10,1,4,0,XSS
55,2,10,2,2,1,XSS
54,2,10,2,2,1,XSS
56,2,10,2,2,1,XSS
60,4,12,2,5,0,XSS
34,1,10,0,3,0,XSS
40,1,10,0,4,0,XSS
49,2,10,1,3,1,XSS
48,2,10,1,3,1,XSS
37,1,10,0,3,0,XSS
64,4,12,2,4,0,XSS
52,2,10,1,3,0,XSS
53,2,10,1,3,0,XSS
50,2,10,1,3,0,XSS
38,1,10,0,3,1,XSS
39,1,10,0,3,0,XSS
39,1,10,1,3,0,XSS
38,1,10,0,3,1,XSS
37,1,10,0,3,0,XSS
38,1,10,0,3,1,XSS
36,1,10,0,3,0,XSS
50,2,10,1,3,1,XSS
58,2,13,1,3,0,XSS
61,2,13,1,4,0,XSS
63,2,13,1,4,0,XSS
63,2,13,2,4,0,XSS
63,2,13,2,4,2,XSS
55,3,10,1,1,0,XSS
61,3,10,2,1,0,XSS
80,4,12,3,2,0,XSS
79,5,13,2,2,0,XSS
52,3,10,1,3,0,XSS
54,3,10,1,3,0,XSS
63,2,10,2,1,1,XSS
62,2,10,2,1,1,XSS
64,2,10,2,1,1,XSS
68,4,12,2,4,0,XSS
42,1,10,0,2,0,XSS
48,1,10,0,3,0,XSS
57,2,10,1,2,1,XSS
56,2,10,1,2,1,XSS
45,1,10,0,2,0,XSS
72,4,12,2,3,0,XSS
60,2,10,1,3,0,XSS
61,2,10,1,2,0,XSS
58,2,10,1,2,0,XSS
46,1,10,0,3,1,XSS
47,1,10,0,2,0,XSS
47,1,10,1,2,0,XSS
46,1,10,0,2,1,XSS
45,1,10,0,2,0,XSS
46,1,10,0,2,1,XSS
44,1,10,0,2,0,XSS
58,2,10,1,2,1,XSS
50,2,13,1,3,0,XSS
53,2,13,1,4,0,XSS
55,2,13,1,4,0,XSS
55,2,13,2,4,0,XSS
55,2,13,2,4,2,XSS
47,3,10,1,1,0,XSS
53,3,10,2,1,0,XSS
72,4,12,3,2,0,XSS
71,5,13,2,2,0,XSS
44,3,10,1,3,0,XSS
46,3,10,1,3,0,XSS
55,2,10,2,1,1,XSS
54,2,10,2,1,1,XSS
56,2,10,2,1,1,XSS
60,4,12,2,4,0,XSS
34,1,10,0,2,0,XSS
40,1,10,0,3,0,XSS
49,2,10,1,2,1,XSS
48,2,10,1,2,1,XSS
37,1,10,0,2,0,XSS
64,4,12,2,3,0,XSS
52,2,10,1,3,0,XSS
53,2,10,1,2,0,XSS
50,2,10,1,2,0,XSS
38,1,10,0,3,1,XSS
39,1,10,0,2,0,XSS
39,1,10,1,2,0,XSS
38,1,10,0,2,1,XSS
37,1,10,0,2,0,XSS
38,1,10,0,2,1,XSS
36,1,10,0,2,0,XSS
50,2,10,1,2,1,XSS
54,2,13,1,4,0,XSS
57,2,13,1,5,0,XSS
59,2,13,1,5,0,XSS
59,2,13,2,5,0,XSS
59,2,13,2,5,2,XSS
51,3,10,1,2,0,XSS
57,3,10,2,2,0,XSS
76,4,12,3,3,0,XSS
75,5,13,2,3,0,XSS
48,3,10,1,4,0,XSS
50,3,10,1,4,0,XSS
59,2,10,2,2,1,XSS
58,2,10,2,2,1,XSS
60,2,10,2,2,1,XSS
64,4,12,2,5,0,XSS
38,1,10,0,3,0,XSS
44,1,10,0,4,0,XSS
53,2,10,1,3,1,XSS
52,2,10,1,3,1,XSS
41,1,10,0,3,0,XSS
68,4,12,2,4,0,XSS
56,2,10,1,4,0,XSS
57,2,10,1,3,0,XSS
54,2,10,1,3,0,XSS
42,1,10,0,4,1,XSS
43,1,10,0,3,0,XSS
43,1,10,1,3,0,XSS
42,1,10,0,3,1,XSS
41,1,10,0,3,0,XSS
42,1,10,0,3,1,XSS
40,1,10,0,3,0,XSS
54,2,10,1,3,1,XSS
64,2,13,2,3,0,XSS
67,2,13,2,4,0,XSS
69,2,13,2,4,0,XSS
69,2,13,3,4,0,XSS
69,2,13,3,4,2,XSS
61,3,10,2,1,0,XSS
67,3,10,3,1,0,XSS
86,4,12,4,2,0,XSS
85,5,13,3,2,0,XSS
58,3,10,2,3,0,XSS
60,3,10,2,3,0,XSS
69,2,10,3,1,1,XSS
68,2,10,3,1,1,XSS
70,2,10,3,1,1,XSS
74,4,12,3,4,0,XSS
48,1,10,1,2,0,XSS
54,1,10,1,3,0,XSS
63,2,10,2,2,1,XSS
62,2,10,2,2,1,XSS
51,1,10,1,2,0,XSS
78,4,12,3,3,0,XSS
66,2,10,2,3,0,XSS
67,2,10,2,2,0,XSS
64,2,10,2,2,0,XSS
52,1,10,1,3,1,XSS
53,1,10,1,2,0,XSS
53,1,10,2,2,0,XSS
52,1,10,1,2,1,XSS
51,1,10,1,2,0,XSS
52,1,10,1,2,1,XSS
50,1,10,1,2,0,XSS
64,2,10,2,2,1,XSS
52,2,13,1,3,0,XSS
55,2,13,1,4,0,XSS
57,2,13,1,4,0,XSS
57,2,13,2,4,0,XSS
57,2,13,2,4,2,XSS
49,3,10,1,1,0,XSS
55,3,10,2,1,0,XSS
74,4,12,3,2,0,XSS
73,5,13,2,2,0,XSS
46,3,10,1,3,0,XSS
48,3,10,1,3,0,XSS
28,1,5,2,2,1,XSS
57,2,10,2,1,1,XSS
56,2,10,2,1,1,XSS
58,2,10,2,1,1,XSS
29,1,5,2,2,1,XSS
54,1,11,2,4,2,XSS
40,3,9,0,4,0,XSS
36,1,10,0,2,0,XSS
42,1,10,0,3,0,XSS
51,2,10,1,2,1,XSS
50,2,10,1,2,1,XSS
39,1,10,0,2,0,XSS
32,2,7,0,3,0,XSS
44,3,9,0,4,0,XSS
30,1,7,1,2,0,XSS
54,2,10,1,3,0,XSS
55,2,10,1,2,0,XSS
52,2,10,1,2,0,XSS
25,1,5,0,2,0,XSS
40,1,10,0,3,1,XSS
41,1,10,0,2,0,XSS
41,1,10,1,2,0,XSS
40,1,10,0,2,1,XSS
39,1,10,0,2,0,XSS
40,1,10,0,2,1,XSS
38,1,10,0,2,0,XSS
52,2,10,1,2,1,XSS
26,1,5,1,2,1,XSS
26,1,7,0,2,0,XSS
71,3,18,2,3,1,XSS
67,1,16,2,3,1,XSS
23,1,5,0,2,0,XSS
48,2,13,1,3,0,XSS
51,2,13,1,4,0,XSS
53,2,13,1,4,0,XSS
53,2,13,2,4,0,XSS
53,2,13,2,4,2,XSS
45,3,10,1,1,0,XSS
51,3,10,2,1,0,XSS
70,4,12,3,2,0,XSS
69,5,13,2,2,0,XSS
42,3,10,1,3,0,XSS
44,3,10,1,3,0,XSS
53,2,10,2,1,1,XSS
52,2,10,2,1,1,XSS
54,2,10,2,1,1,XSS
58,4,12,2,4,0,XSS
32,1,10,0,2,0,XSS
38,1,10,0,3,0,XSS
47,2,10,1,2,1,XSS
46,2,10,1,2,1,XSS
35,1,10,0,2,0,XSS
62,4,12,2,3,0,XSS
50,2,10,1,3,0,XSS
51,2,10,1,2,0,XSS
48,2,10,1,2,0,XSS
36,1,10,0,3,1,XSS
37,1,10,0,2,0,XSS
37,1,10,1,2,0,XSS
36,1,10,0,2,1,XSS
35,1,10,0,2,0,XSS
36,1,10,0,2,1,XSS
34,1,10,0,2,0,XSS
48,2,10,1,2,1,XSS
48,2,8,0,4,0,XSS
50,2,8,0,4,0,XSS
56,2,13,1,4,0,XSS
59,2,13,1,5,0,XSS
61,2,13,1,5,0,XSS
61,2,13,2,5,0,XSS
61,2,13,2,5,2,XSS
53,3,10,1,2,0,XSS
59,3,10,2,2,0,XSS
78,4,12,3,3,0,XSS
77,5,13,2,3,0,XSS
61,2,10,2,2,1,XSS
60,2,10,2,2,1,XSS
62,2,10,2,2,1,XSS
55,3,11,1,5,0,XSS
40,1,10,0,3,0,XSS
